ID_Uzorka;GPS_LAT;GPS_LONG
1;18.494269;77.389934
2;18.481628;77.388139
3;18.488339;77.396498
4;18.490233;77.388768
5;18.489027;77.388698
6;18.483277;77.394507
7;18.481638;77.387051
8;18.480971;77.386331
9;18.48698;77.387674
10;18.489393;77.387715
11;18.479645;77.398761
12;18.493704;77.393513
13;18.485327;77.390158
14;18.479132;77.381557
15;18.483528;77.383607
16;18.477814;77.389986
17;18.481343;77.394547
18;18.48471;77.395589
19;18.482444;77.389657
20;18.49088;77.38567
21;18.48547;77.390693
22;18.492686;77.387344
23;18.485456;77.393866
24;18.482962;77.389074
25;18.481013;77.386478
26;18.486619;77.394405
27;18.489019;77.398415
28;18.485968;77.397891
29;18.48752;77.395766
30;18.486585;77.392661
31;18.4898;77.395999
32;18.488511;77.392899
33;18.481239;77.391665
34;18.485807;77.388295
35;18.486352;77.395492
36;18.484224;77.392827
37;18.484254;77.392992
38;18.480413;77.392151
39;18.485414;77.393686
40;18.485739;77.388711
41;18.484725;77.399246
42;18.483942;77.390542
43;18.487278;77.389413
44;18.486124;77.385244
45;18.48203;77.387145
46;18.48661;77.390658
47;18.478976;77.384627
48;18.487446;77.38503
49;18.49675;77.391888
50;18.470811;77.384604
51;18.477919;77.387575
52;18.475458;77.383886
53;18.47922;77.394076
54;18.487128;77.396925
55;18.482721;77.390642
56;18.482467;77.384131
57;18.484064;77.39274
58;18.492886;77.398344
59;18.488934;77.389831
60;18.497186;77.390774
61;18.487497;77.391725
62;18.485994;77.396133
63;18.48688;77.396947
64;18.483128;77.394775
65;18.479865;77.385405
66;18.482824;77.385364
67;18.481845;77.388195
68;18.491272;77.381957
69;18.482671;77.38877
70;18.486356;77.387038
71;18.491619;77.382554
72;18.481026;77.396776
73;18.483078;77.391678
74;18.494133;77.388326
75;18.486584;77.393409
76;18.470607;77.392638
77;18.486328;77.3804
78;18.482606;77.388146
79;18.487488;77.399416
80;18.485676;77.396971
81;18.490639;77.39034
82;18.48719;77.397136
83;18.493284;77.387306
84;18.484153;77.389288
85;18.484801;77.398836
86;18.486241;77.396168
87;18.476604;77.38292
88;18.478183;77.402057
89;18.489538;77.389325
90;18.490854;77.392386
91;18.491934;77.384426
92;18.483292;77.390579
93;18.482233;77.392645
94;18.478285;77.398667
95;18.486215;77.390752
96;18.48606;77.383074
97;18.485169;77.389183
98;18.485589;77.387801
99;18.480087;77.39127
100;18.486114;77.395824
101;18.491654;77.388931
102;18.478005;77.383158
103;18.484264;77.400534
104;18.485044;77.381517
105;18.491854;77.388971
106;18.492067;77.403387
107;18.480332;77.387175
108;18.485229;77.392959
109;18.480576;77.393612
110;18.487752;77.389348
111;18.488693;77.391919
112;18.479048;77.398145
113;18.483087;77.386306
114;18.492498;77.390659
115;18.480944;77.386455
116;18.491386;77.394574
117;18.486471;77.390635
118;18.485263;77.393896
119;18.480895;77.393221
120;18.489157;77.393665
121;18.480072;77.400127
122;18.492377;77.39187
123;18.47803;77.397661
124;18.476086;77.38302
125;18.47767;77.385011
126;18.478681;77.385475
127;18.480966;77.389449
128;18.494626;77.393169
129;18.493087;77.390607
130;18.485617;77.390841
131;18.47514;77.39017
132;18.488425;77.396209
133;18.487113;77.393731
134;18.482407;77.382922
135;18.490784;77.396879
136;18.472014;77.395977
137;18.478;77.386401
138;18.488974;77.395754
139;18.482538;77.385527
140;18.476333;77.395542
141;18.480236;77.397041
142;18.48695;77.399984
143;18.483846;77.401642
144;18.482893;77.389953
145;18.485758;77.389804
146;18.489441;77.389776
147;18.486281;77.393936
148;18.490154;77.390312
149;18.473478;77.400047
150;18.480783;77.404211
151;18.482672;77.395571
152;18.484139;77.386397
153;18.486509;77.394415
154;18.486339;77.383768
155;18.485731;77.389779
156;18.481655;77.392699
157;18.488698;77.382707
158;18.475933;77.392801
159;18.483481;77.392987
160;18.486949;77.38096
161;18.487147;77.401602
162;18.477791;77.394224
163;18.478948;77.400478
164;18.476333;77.392413
165;18.483593;77.393768
166;18.479514;77.381056
167;18.479954;77.390738
168;18.480264;77.388303
169;18.48345;77.388535
170;18.479802;77.387523
171;18.483235;77.392861
172;18.482102;77.38275
173;18.488054;77.389593
174;18.476179;77.38468
175;18.493028;77.387138
176;18.488623;77.387141
177;18.487166;77.382185
178;18.477311;77.389996
179;18.489463;77.383779
180;18.495049;77.386109
181;18.486559;77.383594
182;18.485274;77.388676
183;18.483863;77.389477
184;18.48952;77.38061
185;18.476159;77.388496
186;18.4846;77.395665
187;18.483234;77.391535
188;18.484506;77.387514
189;18.478004;77.392923
190;18.474865;77.393045
191;18.477434;77.385864
192;18.480403;77.395527
193;18.483673;77.402356
194;18.487022;77.389429
195;18.4866;77.389119
196;18.478376;77.390069
197;18.485576;77.390292
198;18.482301;77.391674
199;18.48477;77.386677
200;18.48433;77.38502
201;18.489812;77.383542
202;18.496417;77.390104
203;18.49014;77.392337
204;18.487278;77.397309
205;18.478494;77.391614
206;18.488623;77.380685
207;18.483036;77.387059
208;18.484981;77.383878
209;18.488191;77.393874
210;18.485255;77.391401
211;18.481485;77.393592
212;18.484691;77.39491
213;18.490078;77.39035
214;18.49357;77.398816
215;18.497059;77.374918
216;18.480016;77.397684
217;18.487463;77.395794
218;18.478805;77.385418
219;18.485599;77.39086
220;18.48906;77.383961
221;18.48378;77.394648
222;18.487494;77.387326
223;18.478801;77.386508
224;18.484162;77.395276
225;18.485645;77.392541
226;18.493137;77.393753
227;18.484507;77.391341
228;18.486856;77.379161
229;18.481921;77.394045
230;18.483482;77.384864
231;18.478921;77.38251
232;18.484879;77.397995
233;18.478935;77.390649
234;18.489726;77.387818
235;18.479534;77.382504
236;18.485713;77.388053
237;18.479358;77.3933
238;18.491205;77.387663
239;18.480913;77.395084
240;18.485845;77.383179
241;18.478994;77.393357
242;18.477148;77.387714
243;18.483964;77.390818
244;18.488357;77.387017
245;18.475099;77.384692
246;18.485886;77.389172
247;18.48579;77.3825
248;18.478865;77.389317
249;18.474907;77.3926
250;18.477372;77.386673
251;18.500477;77.328463
252;18.489751;77.332482
253;18.496726;77.335207
254;18.503985;77.329216
255;18.493496;77.328555
256;18.493661;77.330585
257;18.496391;77.33141
258;18.499195;77.327474
259;18.499456;77.330635
260;18.491854;77.324317
261;18.491548;77.333657
262;18.487713;77.322013
263;18.493925;77.341995
264;18.487928;77.332753
265;18.491541;77.325272
266;18.492841;77.335184
267;18.496643;77.324892
268;18.494699;77.341127
269;18.494191;77.336563
270;18.490114;77.333724
271;18.505713;77.326378
272;18.489992;77.32958
273;18.485143;77.332753
274;18.493554;77.325816
275;18.49526;77.337198
276;18.492489;77.332223
277;18.495528;77.33702
278;18.500079;77.334084
279;18.500858;77.329446
280;18.491559;77.326611
281;18.499924;77.3288
282;18.492452;77.333813
283;18.48772;77.334244
284;18.498999;77.324463
285;18.499973;77.331019
286;18.49055;77.334711
287;18.48869;77.323706
288;18.496312;77.323561
289;18.489445;77.333191
290;18.487573;77.333274
291;18.499193;77.330731
292;18.496609;77.326158
293;18.493478;77.331392
294;18.488132;77.327215
295;18.491843;77.332397
296;18.495707;77.326829
297;18.489525;77.312733
298;18.493029;77.333909
299;18.501334;77.33407
300;18.500341;77.329988
301;18.490861;77.333346
302;18.491814;77.330334
303;18.495123;77.340641
304;18.498479;77.33337
305;18.494385;77.327223
306;18.494305;77.321922
307;18.484158;77.322907
308;18.501808;77.330807
309;18.491918;77.328813
310;18.499234;77.336565
311;18.499024;77.330684
312;18.501767;77.335409
313;18.504481;77.331235
314;18.493852;77.329014
315;18.493915;77.332783
316;18.49128;77.323671
317;18.488432;77.334637
318;18.500544;77.327792
319;18.504367;77.330698
320;18.504126;77.3284
321;18.49402;77.328674
322;18.498425;77.325482
323;18.496924;77.337407
324;18.495295;77.340134
325;18.488261;77.329749
326;18.491175;77.323539
327;18.497159;77.336204
328;18.494282;77.329573
329;18.487138;77.330131
330;18.498102;77.333291
331;18.496413;77.323379
332;18.493657;77.322645
333;18.493387;77.325922
334;18.496371;77.328436
335;18.49629;77.335833
336;18.498204;77.334685
337;18.49739;77.33279
338;18.49133;77.328372
339;18.489425;77.330329
340;18.498266;77.325516
341;18.495998;77.332466
342;18.495706;77.334531
343;18.494535;77.3268
344;18.501296;77.336558
345;18.49244;77.328437
346;18.493408;77.334976
347;18.491616;77.326346
348;18.492236;77.341653
349;18.493413;77.33326
350;18.489335;77.328242
351;18.491497;77.332918
352;18.491691;77.338593
353;18.488559;77.314488
354;18.492042;77.334595
355;18.492782;77.331353
356;18.492437;77.330427
357;18.488509;77.327151
358;18.496428;77.33751
359;18.495271;77.329496
360;18.49336;77.328671
361;18.494994;77.327064
362;18.496544;77.333272
363;18.491689;77.333132
364;18.489137;77.331542
365;18.497807;77.326884
